rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/time_elapsed,time/total_timesteps,time/iterations,train/clip_range,train/approx_kl,train/clip_fraction,train/value_loss,train/loss,train/policy_gradient_loss,train/std,train/entropy_loss,train/n_updates,train/learning_rate,train/explained_variance
-91.8138427734375,288.0,3544,1,4096,1,,,,,,,,,,,
-91.84793090820312,288.0,2844,2,8192,2,0.2,0.0039695557,0.021826171875,57.997370052337644,24.11536407470703,-0.00398088208748959,0.9950135350227356,-7.0833246350288395,10,0.0003,-0.05159783363342285
-91.81668853759766,288.0,2760,4,12288,3,0.2,0.0062134503,0.0423828125,37.64999380111694,14.717427253723145,-0.00514111234806478,0.9935401082038879,-7.064109623432159,20,0.0003,0.10941898822784424
-91.82457733154297,288.0,2712,6,16384,4,0.2,0.0045684036,0.018896484375,37.20139122009277,15.175389289855957,-0.002632282389095053,0.9908558130264282,-7.056847190856933,30,0.0003,0.19071459770202637
-91.7879409790039,288.0,2553,8,20480,5,0.2,0.005051933,0.0098388671875,52.875877952575685,22.02579116821289,-0.003288924432126805,0.9900304079055786,-7.045576727390289,40,0.0003,0.25608181953430176
-91.76021575927734,288.0,2325,10,24576,6,0.2,0.00414215,0.006884765625,53.88067855834961,22.801240921020508,-0.0018292729306267574,0.9912921786308289,-7.0467148423194885,50,0.0003,0.2770654559135437
-91.7093505859375,288.0,2321,12,28672,7,0.2,0.0034673251,0.006005859375,46.96658906936646,21.63056182861328,-0.0025290675344876944,0.9925199747085571,-7.0548210620880125,60,0.0003,0.28545236587524414
-91.73080444335938,288.0,2344,13,32768,8,0.2,0.0041115503,0.0090576171875,32.206208562850954,13.705885887145996,-0.0016345764917787165,0.9933401346206665,-7.059462749958039,70,0.0003,0.3024345636367798
-91.69708251953125,288.0,2258,16,36864,9,0.2,0.005358541,0.0151611328125,46.57947702407837,20.328567504882812,-0.0030275069701019676,0.9941452145576477,-7.062027180194855,80,0.0003,0.32972294092178345
-91.66851806640625,288.0,2084,19,40960,10,0.2,0.004076464,0.009521484375,52.29205093383789,25.021108627319336,-0.0028530768875498326,0.9954975843429565,-7.069672417640686,90,0.0003,0.3740648627281189
-91.59475708007812,288.0,1941,23,45056,11,0.2,0.005582585,0.013232421875,49.38456239700317,21.901325225830078,-0.0025547187949996443,0.9949955940246582,-7.070995652675629,100,0.0003,0.42951107025146484
-91.59526062011719,288.0,1923,25,49152,12,0.2,0.0064778533,0.041748046875,34.55860657691956,13.714296340942383,-0.004900196590460837,0.9925792813301086,-7.062501549720764,110,0.0003,0.47872984409332275
-91.57349395751953,288.0,1938,27,53248,13,0.2,0.006442434,0.0266845703125,32.354532194137576,14.408052444458008,-0.003051257343031466,0.9895156621932983,-7.049841129779816,120,0.0003,0.5583751201629639
-91.61852264404297,288.0,1957,29,57344,14,0.2,0.0048143696,0.01201171875,44.78280591964722,19.9659423828125,-0.00265507033909671,0.9883379936218262,-7.0375409603118895,130,0.0003,0.6253617405891418
-91.6485824584961,288.0,2000,30,61440,15,0.2,0.003496789,0.0062255859375,44.16693515777588,20.409149169921875,-0.002154345138114877,0.9891185760498047,-7.037573111057282,140,0.0003,0.6328213214874268
-91.63447570800781,288.0,1983,33,65536,16,0.2,0.003591061,0.0062744140625,39.32833776473999,17.080591201782227,-0.001550041660084389,0.9886131286621094,-7.0383998394012455,150,0.0003,0.6992956399917603
-91.65026092529297,288.0,1980,35,69632,17,0.2,0.005290189,0.0217041015625,23.828211402893068,11.304282188415527,-0.0027766686398535967,0.9878129959106445,-7.033743619918823,160,0.0003,0.7547916173934937
-91.65271759033203,288.0,1956,37,73728,18,0.2,0.0051813694,0.016357421875,35.328306102752684,16.361080169677734,-0.0029213954345323145,0.9882959127426147,-7.0331585764884945,170,0.0003,0.7456197738647461
